Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
2000-11-15 00:00:00," Luanda, Angola",Asa Pesada,Luanda - Namibe,Antonov AN-26,57,5,52,57,5,52,0,13.2439512,-8.8272699
2000-11-20 00:00:00,"Miami, Florida",American Airlines,"Miami, FL - Port au Prince",Airbus A300-600R,114,9,105,1,1,0,0,-80.19362,25.7741728
2000-12-11 00:00:00," Sumacal, Beni, BO",Servicio Aereo Manchupo,Cashaschanes - Sumacal,Cessna 206,6,1,5,6,1,5,0,-65.1120651,-12.9482581
2001-01-04 00:00:00,"Zheng Zou AB, China",Military - People's Liberation Army,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16,16,0,16,16,0,6,121.8056629,37.4170874
2001-01-08 00:00:00," Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,Timika - Jayapura,CASA 212-MP Aviocar 200,9,9,0,9,9,0,0,138.9316798,-4.480476
2001-01-23 00:00:00,"Eider Point, Alaska",Majestic Air Cargo,Sin dato,Douglas C-47A-30-DK (DC-3C),2,2,0,2,2,0,0,-166.5899634,53.9583518
2001-01-25 00:00:00,"Ciudad Bolivar, Venezuela",Rutaca Airlines,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),24,4,20,24,4,20,0,-63.5469562,8.1028532
2001-01-27 00:00:00,"Byers, Colorado",North Bay Charter,"Broomfield, CO - Stillwater, OK",Beech King Air 200 Catpass,10,2,8,10,2,8,0,-104.22199652971202,39.709152
2001-01-31 00:00:00,"El Yopal, Colombia",Lineas Aereas Suramericanas,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,6,3,3,3,1,2,0,-72.3936931,5.3356662
2001-02-08 00:00:00,"Nurnberg, Germany",E.A.S. Aeroservizi,"Nurnberg - Rome, Italy",Learjet 35A,3,2,1,3,2,1,0,11.077298,49.453872
